Gender,Marital_Status,Income_Category,Customer_Age,Credit_Limit,Total_Revolving_Bal
F,Single,Unknown,51,8365.0,1504
F,Single,Less than $40K,56,2846.0,0
F,Single,Less than $40K,49,7789.0,957
F,Single,Less than $40K,44,1438.3,170
F,Married,Unknown,48,2220.0,0
M,Married,$120K +,48,6626.0,1558
F,Married,Unknown,46,5547.0,0
F,Divorced,Less than $40K,37,1734.0,987
F,Married,Less than $40K,41,2934.0,933
M,Married,$120K +,44,14527.0,2070
F,Single,Less than $40K,48,2646.0,872
M,Single,$80K - $120K,47,8185.0,1556
M,Single,$40K - $60K,46,6340.0,1985
M,Single,$80K - $120K,62,5711.0,0
F,Single,Less than $40K,46,2258.0,1600
F,Divorced,Less than $40K,43,2086.0,2007
F,Married,$40K - $60K,44,3256.0,1013
M,Married,$60K - $80K,50,14854.0,2136
M,Divorced,$120K +,49,7184.0,1207
M,Unknown,$40K - $60K,48,6541.0,1119
M,Single,$40K - $60K,62,9065.0,641
M,Single,$40K - $60K,54,3682.0,2517
F,Married,Less than $40K,56,1438.3,0
F,Married,Unknown,46,2286.0,0
M,Single,$80K - $120K,57,12663.0,1028
F,Single,Less than $40K,48,1438.3,816
F,Single,Less than $40K,39,1438.3,668
F,Married,Unknown,45,5056.0,0
F,Single,Less than $40K,53,1438.3,0
M,Married,$120K +,26,30928.0,2005
M,Married,$80K - $120K,40,1804.0,1040
M,Married,$80K - $120K,43,1669.0,0
F,Divorced,Unknown,33,9725.0,0
M,Single,$60K - $80K,45,21696.0,1036
F,Married,Less than $40K,49,2992.0,1845
F,Single,Less than $40K,38,1934.0,985
M,Married,$120K +,43,34516.0,830
F,Single,Less than $40K,42,1734.0,0
F,Single,Less than $40K,42,1438.3,838
F,Married,Less than $40K,39,1438.3,886
M,Single,$40K - $60K,48,9673.0,0
F,Single,$40K - $60K,56,3609.0,1026
F,Single,Less than $40K,39,1438.3,576
M,Single,$40K - $60K,39,6423.0,0
F,Married,$40K - $60K,48,14899.0,0
F,Married,$40K - $60K,52,3224.0,2111
F,Married,Less than $40K,44,4135.0,1606
M,Married,$60K - $80K,44,4969.0,1187
F,Single,$40K - $60K,41,8376.0,1219
M,Single,$80K - $120K,44,3454.0,2065
M,Married,$80K - $120K,42,25944.0,1987
M,Married,$60K - $80K,49,1438.3,535
F,Single,Less than $40K,38,1556.0,0
M,Married,$60K - $80K,57,8701.0,215
M,Single,$40K - $60K,33,5600.0,2517
F,Unknown,Less than $40K,45,2900.0,2018
F,Married,$40K - $60K,61,4906.0,2185
F,Single,Less than $40K,41,2687.0,1317
F,Divorced,$40K - $60K,40,4464.0,1418
F,Single,$40K - $60K,51,1438.3,869
F,Married,Less than $40K,34,2221.0,1814
M,Married,$60K - $80K,42,2966.0,2371
F,Married,$40K - $60K,38,1593.0,1091
F,Single,Less than $40K,41,2450.0,1490
F,Divorced,Less than $40K,53,1529.0,563
F,Single,$40K - $60K,45,6274.0,883
F,Single,Less than $40K,43,1438.3,0
F,Married,Less than $40K,41,2134.0,1085
M,Married,$80K - $120K,50,17158.0,1211
F,Married,$40K - $60K,51,3359.0,873
M,Married,$80K - $120K,47,11997.0,1424
